名字,阅读,帖子,粉丝
鹿晗,2252亿,627.5万,305.1万
王俊凯,1608.8亿,567.3万,305.3万
张艺兴,1456.5亿,348.4万,180.1万
易烊千玺,1465.8亿,684.7万,296万
黄子韬,1579.2亿,113.4万,149.1万
吴亦凡,985.8亿,227.6万,201.4万
王源,1214亿,557.8万,209.6万
李易峰,1062亿,315.5万,145.4万
杨洋,667.1亿,201.7万,121.7万
胡歌,311.6亿,71.9万,42.6万
陈伟霆,827.7亿,187.6万,85.9万
蔡徐坤,484.3亿,252万,167.6万
韩庚,84.5亿,14.9万,14.3万
张翰,110.7亿,23.4万,19.7万
罗晋,84.3亿,19.9万,25.2万
陈冠希,15.4亿,8123,2.6万
陈赫,72亿,6.5万,8.9万
郭德纲,8.4亿,1.4万,2.1万
靳东,115.2亿,13.9万,20.2万
邓超,43.4亿,3.8万,9.9万
成龙,9.7亿,9661,1.2万
刘昊然,106.2亿,36.5万,42.6万
马天宇,229.3亿,59.4万,53.3万
刘德华,20.6亿,1.8万,6.1万
林更新,159.3亿,19.9万,27.3万
钟汉良,332.2亿,80万,41.5万
贾乃亮,54亿,6.9万,7.2万
刘恺威,41.7亿,10.2万,11.4万
王凯,332.9亿,166.2万,45.9万
宋威龙,13.3亿,5.1万,11.1万
吴京,9.5亿,1.4万,2万
陈晓,117.3亿,11.2万,12万
黄景瑜,323.6亿,77.5万,48.1万
李连杰,1.5亿,3962,1679
黄晓明,35.2亿,3万,4.3万
霍建华,318.5亿,31.6万,66.8万
朱亚文,10.9亿,4.4万,3.7万
谢霆锋,32.6亿,2万,4.3万
吴磊,98.6亿,18.3万,25.4万
王宝强,83.2亿,2.5万,30.8万
吴奇隆,48.9亿,6万,2.8万
黄渤,13亿,1.9万,3万
王力宏,16.4亿,2.3万,2.2万
张嘉译,12.9亿,2.3万,4.4万
郑恺,37.3亿,5.2万,8.2万
李晨,30.3亿,2.9万,4.7万
张一山,109.2亿,10.1万,21.2万
吴秀波,12.3亿,2万,1.7万
胡一天,190.7亿,62.3万,57.9万
文章,3.6亿,1864,1753
罗志祥,78.7亿,13万,11.7万
韩东君,27.9亿,5.6万,5.2万
古天乐,10.7亿,1.4万,1.1万
彭于晏,50.4亿,7.9万,16.2万
彭于晏,50.4亿,7.9万,16.2万
熊梓淇,41.5亿,17.5万,18.4万
肖战,31亿,13.5万,19.3万
陈奕迅,25.6亿,2.7万,6.7万
任嘉伦,93.1亿,26.1万,17.9万
张若昀,73.9亿,13.5万,15.1万
陈学冬,113亿,30.3万,32.8万
王一博,38.5亿,6.3万,13.3万
付辛博,13.2亿,1.6万,1.2万
赵又廷,61.1亿,7.3万,14.3万
宋小宝,4.1亿,3420,4975
黄轩,39.7亿,9.4万,7.2万
雷佳音,10.9亿,1.7万,2.9万
林志颖,31.6亿,3.3万,2.9万
周润发,4.3亿,1439,2677
井柏然,90.1亿,11.7万,9.5万
刘宪华,2.6亿,277,1416
秦俊杰,35.1亿,5.2万,10.8万
陈坤,20.4亿,2.5万,2.5万
柳云龙,4.3亿,2.4万,8638
黎明,3.3亿,1.8万,4977
岳云鹏,13.6亿,1.6万,3.1万
于朦胧,33.3亿,5.2万,21.2万
郭富城,8.1亿,5384,3895
朱一龙,114.9亿,73.9万,68.1万
梁朝伟,4.9亿,6816,8627
欧豪,35.1亿,7.9万,15.5万
陈思诚,9.4亿,1564,1.2万
李荣浩,11.5亿,4.3万,1.7万
潘玮柏,74.4亿,16.4万,13.7万
杜淳,13.8亿,3万,1.9万
黄磊,13.3亿,1.5万,2.7万
吴彦祖,4.1亿,2070,4604
孙红雷,6.8亿,3671,1.4万
潘粤明,46.3亿,15万,7.9万
袁弘,7.8亿,4696,17.6万
冯小刚,8.3亿,2455,8671
张译,2亿,1.3万,5784
余文乐,21.6亿,1.8万,2.8万
彦希,8.2亿,1万,6.5万
刘烨,16.3亿,1.4万,1.4万
周渝民,8.5亿,3.5万,1.8万
于和伟,2.9亿,2.9万,9303
翟天临,5亿,1.7万,1.2万
黄宗泽,11.2亿,2.1万,2.4万
窦骁,41.7亿,6.4万,14.9万
邓伦,43亿,6.5万,14万
李治廷,8亿,2.2万,8.8万
李宏毅,12.6亿,4.5万,5.6万
陈道明,2.7亿,2956,7.3万
张卫健,2.9亿,1.5万,6416
马可,34.1亿,13.4万,4.1万
言承旭,8亿,1.7万,8371
张逸杰,2.2亿,9162,3.8万
小沈阳,1.7亿,2.2万,3149
陈小春,18.9亿,1.2万,2.4万
张彬彬,24.4亿,6万,8.4万
周一围,3亿,7563,7510
贾冰,786.6万,669,939
邢昭林,47.5亿,11.2万,13.4万
魏千翔,1.2亿,3924,1365
曾志伟,2.8亿,463,6133
吴尊,18.9亿,1.7万,3.1万
甄子丹,1.5亿,1920,12万
张国立,1.2亿,6177,2726
张家辉,5亿,1418,4560
蒋劲夫,18.7亿,2.3万,1.4万
杨烁,6.9亿,1.1万,1.1万
侯明昊,56.3亿,11.2万,54.4万
盛一伦,53.6亿,15.7万,11.6万
董子健,10.6亿,7262,1.4万
彭昱畅,6亿,3.6万,2.1万
魏大勋,26.3亿,5.6万,49万
徐峥,6.4亿,1.1万,3.7万
冯绍峰,15.1亿,2.1万,1万
苏有朋,8.6亿,7万,3.5万
阮经天,10.2亿,1.7万,2.2万
姜文,4.7亿,857,2319
沙溢,6.1亿,9797,1.6万
